,S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
166,167,Jogulamba Gadwal,2018 - 2019,Kharif,Maize,64.72,24.4666666666667,38.2333333333333,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.78,2.7
167,168,Jogulamba Gadwal,2019 - 2020,Kharif,Maize,103.34,21.2,44.1,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,13.82,4.93
168,169,Kamareddy,2016 - 2017,Kharif,Maize,242.58,25.4,36.2,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,20.81,5.27
169,170,Kamareddy,2017 - 2018,Kharif,Maize,175.98,25.8,35.8,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,15.52,5.35
170,171,Kamareddy,2018 - 2019,Kharif,Maize,145.38,25.6,36,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,16.84,6.17
171,172,Kamareddy,2019 - 2020,Kharif,Maize,235.12,25.6,36,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,19.31,6.13
172,173,Karimnagar,2014 - 2015,Kharif,Maize,92.36,30.5,40.6,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.4425,4.58
173,174,Karimnagar,2015 - 2016,Kharif,Maize,134.44,26.9,38.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.4425,4.1
174,175,Karimnagar,2016 - 2017,Kharif,Maize,192.88,26.8,37.9,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,15.65,4.54
175,176,Karimnagar,2017 - 2018,Kharif,Maize,146.26,26.9,36.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,11.86,4.68
176,177,Karimnagar,2018 - 2019,Kharif,Maize,152.1,27.775,38.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,12.7,5.67
177,178,Karimnagar,2019 - 2020,Kharif,Maize,235.4,27.775,38.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.56,6.23
178,179,Khammam,2014 - 2015,Kharif,Maize,165.22,29.7,40.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.8625,3.36
179,180,Khammam,2015 - 2016,Kharif,Maize,212.66,27.2,37.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.8625,3.65
180,181,Khammam,2016 - 2017,Kharif,Maize,196.24,27.3,36.8,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,10.43,4.17
181,182,Khammam,2017 - 2018,Kharif,Maize,197.585,29,37.2,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,9.15,4.82
182,183,Khammam,2018 - 2019,Kharif,Maize,204.596,27.06,39.4,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.32,5.36
183,184,Khammam,2019 - 2020,Kharif,Maize,187.9066667,22.1,45,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,7.55,5.47
184,185,Komaram bheem asifabad,2016 - 2017,Kharif,Maize,240.24,27.7,39.3,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.97,3.46
185,186,Komaram bheem asifabad,2017 - 2018,Kharif,Maize,142.94,27.5,37.2,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,3.45
186,187,Komaram bheem asifabad,2018 - 2019,Kharif,Maize,226.16,24,40.5,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.94,4.64
187,188,Komaram bheem asifabad,2019 - 2020,Kharif,Maize,265.66,16.8,45,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,3.28
188,189,Mahabubabad,2016 - 2017,Kharif,Maize,211.04,26.7,37.7,7.6,260,20,330,1.56,17.3,3.92,17.5,10.41,4.25
189,190,Mahabubabad,2017 - 2018,Kharif,Maize,174.64,28.5,38.4,7.6,260,20,330,1.56,17.3,3.92,17.5,9.69,5.33
190,191,Mahabubabad,2018 - 2019,Kharif,Maize,150.46,25.5333333333333,40.3,7.6,260,20,330,1.56,17.3,3.92,17.5,10.05,3.43
191,192,Mahabubabad,2019 - 2020,Kharif,Maize,191.72,21.4,44.8,7.6,260,20,330,1.56,17.3,3.92,17.5,10.38,5.68
192,193,Mahabubnagar,2014 - 2015,Kharif,Maize,81.06,26.1,38.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.9075,1.8
193,194,Mahabubnagar,2015 - 2016,Kharif,Maize,76.1,26.8,37.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.9075,1.27
194,195,Mahabubnagar,2016 - 2017,Kharif,Maize,119.08,26.3,35,7.5,97,35.02,268,0.75,9.8,0.71,8.8,18.41,1.09
195,196,Mahabubnagar,2017 - 2018,Kharif,Maize,148.22,27.8,36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.79,1.45
196,197,Mahabubnagar,2018 - 2019,Kharif,Maize,87.62,25.34,38.02,7.5,97,35.02,268,0.75,9.8,0.71,8.8,16,1.2
197,198,Mahabubnagar,2019 - 2020,Kharif,Maize,147.06,19.7,42.6,7.5,97,35.02,268,0.75,9.8,0.71,8.8,19.43,3.11
198,199,Mancherial,2016 - 2017,Kharif,Maize,175.1,29,38.8,7.52,128,49.4,238,1.65,11.58,2.2,16,7.47,3.46
199,200,Mancherial,2017 - 2018,Kharif,Maize,255.84,28.7,37.7,7.52,128,49.4,238,1.65,11.58,2.2,16,7.34,3.45
200,201,Mancherial,2018 - 2019,Kharif,Maize,145.5,26.0666666666667,40.5666666666667,7.52,128,49.4,238,1.65,11.58,2.2,16,8.62,3.93
201,202,Mancherial,2019 - 2020,Kharif,Maize,198.78,20.5,45.2,7.52,128,49.4,238,1.65,11.58,2.2,16,7.98,4.84
202,203,Medak,2014 - 2015,Kharif,Maize,91.4,26.1,38.5,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,23.5925,1.54
203,204,Medak,2015 - 2016,Kharif,Maize,98.76,24.9,36.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,23.5925,2.12
204,205,Medak,2016 - 2017,Kharif,Maize,215.82,24.9,35,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,29.09,2.52
205,206,Medak,2017 - 2018,Kharif,Maize,132.84,25.9,35.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,17.63,3.71
206,207,Medak,2018 - 2019,Kharif,Maize,100.4,24.3,37.92,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,21.18,2.67
207,208,Medak,2019 - 2020,Kharif,Maize,186.36,19.7,44.2,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,26.47,4.3
208,209,Medchal-Malkajgiri,2016 - 2017,Kharif,Maize,198.12,24.7,35.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,16.33,3.14
209,210,Medchal-Malkajgiri,2017 - 2018,Kharif,Maize,210.28,27.7,36.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,10.79,3.45
210,211,Medchal-Malkajgiri,2018 - 2019,Kharif,Maize,91.14,24.0666666666667,38.4666666666667,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,12.63,2.48
211,212,Medchal-Malkajgiri,2019 - 2020,Kharif,Maize,160.24,19.8,44,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,18.24,4.07
212,213,Mulug,2018 - 2019,Kharif,Maize,240.884,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,6.8
213,214,Mulug,2019 - 2020,Kharif,Maize,222.5,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,6.59
214,215,Nagarkurnool,2016 - 2017,Kharif,Maize,110.26,27.3,35.8,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,20.52,1.09
215,216,Nagarkurnool,2017 - 2018,Kharif,Maize,106.62,26.5,36,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,17.47,2.01
216,217,Nagarkurnool,2018 - 2019,Kharif,Maize,72.82,24.6333333333333,38.8333333333333,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.32,0.64
217,218,Nagarkurnool,2019 - 2020,Kharif,Maize,111.58,20.1,44.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.14,2.56
218,219,Nalgonda,2014 - 2015,Kharif,Maize,93.52,28.9,41,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,13.95,0.75
219,220,Nalgonda,2015 - 2016,Kharif,Maize,136.65,28.2,38,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,13.95,0.7
220,221,Nalgonda,2016 - 2017,Kharif,Maize,118.0733333,28.6,38.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,16.14,1.89
221,222,Nalgonda,2017 - 2018,Kharif,Maize,122.495,30.5,38.5,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.45,3.45
222,223,Nalgonda,2018 - 2019,Kharif,Maize,118.588,27.44,40.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.4,3.07
223,224,Nalgonda,2019 - 2020,Kharif,Maize,114.5433333,21,44.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,14.81,4.87
224,225,Narayanpet,2018 - 2019,Kharif,Maize,92.66,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,1.2
225,226,Narayanpet,2019 - 2020,Kharif,Maize,98.99333333,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,4.84
226,227,Nirmal,2016 - 2017,Kharif,Maize,268.66,26.9,38.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,15.32,3.46
227,228,Nirmal,2017 - 2018,Kharif,Maize,160.56,27.5,36.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,11.25,5.72
228,229,Nirmal,2018 - 2019,Kharif,Maize,172.76,24.1333333333333,39.9666666666667,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.48,6.11
229,230,Nirmal,2019 - 2020,Kharif,Maize,198.7,18,45.5,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.04,8.19
230,231,Nizamabad,2014 - 2015,Kharif,Maize,103.5,28.1,40.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,16.2275,4.9
231,232,Nizamabad,2015 - 2016,Kharif,Maize,90.82,27,38.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,16.2275,4.44
232,233,Nizamabad,2016 - 2017,Kharif,Maize,273.02,26.1,36.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,21.23,5.27
233,234,Nizamabad,2017 - 2018,Kharif,Maize,144.94,26.1,38.1,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,10.85,5.03
234,235,Nizamabad,2018 - 2019,Kharif,Maize,168.88,24.98,40,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,15.63,5.7
235,236,Nizamabad,2019 - 2020,Kharif,Maize,255.82,17.6,46,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,17.2,6.41
236,237,Peddapalli,2016 - 2017,Kharif,Maize,210.42,27.4,38.6,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.61,4.54
237,238,Peddapalli,2017 - 2018,Kharif,Maize,136.86,27,36.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.68,6.92
238,239,Peddapalli,2018 - 2019,Kharif,Maize,226.54,25.1,40.1666666666667,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.52,6.61
239,240,Peddapalli,2019 - 2020,Kharif,Maize,244.94,20.9,45,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.59,8.28
240,241,Rajanna Sircilla,2016 - 2017,Kharif,Maize,218.46,25.8,36.7,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.95,4.54
241,242,Rajanna Sircilla,2017 - 2018,Kharif,Maize,125.2,27.1,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.3,2.85
242,243,Rajanna Sircilla,2018 - 2019,Kharif,Maize,129.3,23.9333333333333,39.2666666666667,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,15.06,5.15
243,244,Rajanna Sircilla,2019 - 2020,Kharif,Maize,236.04,18.9,44.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.98,7.03
244,245,Rangareddy,2014 - 2015,Kharif,Maize,71.84,26.6,38.2,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.745,2.88
245,246,Rangareddy,2015 - 2016,Kharif,Maize,96.46,26.3,36.5,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.745,3.79
246,247,Rangareddy,2016 - 2017,Kharif,Maize,133.64,25.1,34.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.44,3.14
247,248,Rangareddy,2017 - 2018,Kharif,Maize,161.36,27,35.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.37,2.16
248,249,Rangareddy,2018 - 2019,Kharif,Maize,83.84,24.8,37.92,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.24,0.71
249,250,Rangareddy,2019 - 2020,Kharif,Maize,134.92,19,44.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.93,3.32
250,251,Sangareddy,2016 - 2017,Kharif,Maize,213.84,24.8,35.5,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,23.9,2.52
251,252,Sangareddy,2017 - 2018,Kharif,Maize,163.86,26.5,35.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,19.45,3.55
252,253,Sangareddy,2018 - 2019,Kharif,Maize,86.58,23.1666666666667,38.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,17.53,3.15
253,254,Sangareddy,2019 - 2020,Kharif,Maize,150.16,18.2,44.7,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,24.12,4.49
254,255,Siddipet,2016 - 2017,Kharif,Maize,187.62,26.4,37.3,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,28.74,2.52
255,256,Siddipet,2017 - 2018,Kharif,Maize,146.18,27.5,35.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.03,2.88
256,257,Siddipet,2018 - 2019,Kharif,Maize,93.34,24.4333333333333,39.1666666666667,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.68,2.59
257,258,Siddipet,2019 - 2020,Kharif,Maize,196.26,19.4,44.7,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,20.55,4.31
258,259,Suryapet,2016 - 2017,Kharif,Maize,109.5,27.2,36.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,14.86,1.88
259,260,Suryapet,2017 - 2018,Kharif,Maize,117.74,28.1,37.3,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.72,3.47
260,261,Suryapet,2018 - 2019,Kharif,Maize,124.22,25.5666666666667,39.9666666666667,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.53,3.12
261,262,Suryapet,2019 - 2020,Kharif,Maize,114.67,21.4,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.84,4.82
262,263,Vikarabad,2016 - 2017,Kharif,Maize,197.64,26.1,34.1,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,19.05,3.14
263,264,Vikarabad,2017 - 2018,Kharif,Maize,138.32,24.9,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,14.68,3.17
264,265,Vikarabad,2018 - 2019,Kharif,Maize,93.6,23.2666666666667,36.7666666666667,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.05,3.25
265,266,Vikarabad,2019 - 2020,Kharif,Maize,140.16,18.8,42.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,20.47,5.2
266,267,Wanaparthy,2016 - 2017,Kharif,Maize,114.72,26.1,35.3,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,12.14,1.09
267,268,Wanaparthy,2017 - 2018,Kharif,Maize,126.98,25.8,36.1,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,10.06,3.17
268,269,Wanaparthy,2018 - 2019,Kharif,Maize,72.24,23.9,38.1333333333333,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.32,2.95
269,270,Wanaparthy,2019 - 2020,Kharif,Maize,131.1,19.8,43,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.63,5.25
270,271,Warangal,2014 - 2015,Kharif,Maize,124.5,28.3,39.5,7.56,209,49,552,1.24,24.42,1.87,9.59,10.54,3.99
271,272,Warangal,2015 - 2016,Kharif,Maize,187.74,28.1,37.4,7.56,209,49,552,1.24,24.42,1.87,9.59,10.54,3.66
272,273,Warangal,2016 - 2017,Kharif,Maize,230.26,26.4,38.5,7.56,209,49,552,1.24,24.42,1.87,9.59,11.4,4.25
273,274,Warangal,2017 - 2018,Kharif,Maize,180.36,28.9,37.3,7.56,209,49,552,1.24,24.42,1.87,9.59,9.46,6.97
274,275,Warangal,2018 - 2019,Kharif,Maize,137.6,26.6,39.56,7.56,209,49,552,1.24,24.42,1.87,9.59,10.04,6.42
275,276,Warangal,2019 - 2020,Kharif,Maize,222.48,21.3,45.1,7.56,209,49,552,1.24,24.42,1.87,9.59,11.26,5.8
276,277,Hanumakonda,2016 - 2017,Kharif,Maize,267.02,27.6,38.2,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.4,4.25
277,278,Hanumakonda,2017 - 2018,Kharif,Maize,168.04,28.2,36.5,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,9.46,5.53
278,279,Hanumakonda,2018 - 2019,Kharif,Maize,138.62,25.6666666666667,39.7,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,10.04,4.3
279,280,Hanumakonda,2019 - 2020,Kharif,Maize,232.58,21.2,44.4,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.26,5.48
280,281,Yadadri Bhuvanagiri,2016 - 2017,Kharif,Maize,155.98,26.1,36.5,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,17.07,1.89
281,282,Yadadri Bhuvanagiri,2017 - 2018,Kharif,Maize,137.66,28.5,37.3,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,12.83,2.95
282,283,Yadadri Bhuvanagiri,2018 - 2019,Kharif,Maize,76.08,24.8666666666667,39.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,13.32,2.11
283,284,Yadadri Bhuvanagiri,2019 - 2020,Kharif,Maize,146.6,20,44.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,15.6,2.13
284,285,Adilabad,2014 - 2015,Kharif,Moong(Green Gram),156.04,29.1,40.5,7.55,180,17.6,284,1.35,14,0.58,12.88,14.415,0.58
285,286,Adilabad,2015 - 2016,Kharif,Moong(Green Gram),165.74,26.1,37.6,7.55,180,17.6,284,1.35,14,0.58,12.88,14.415,0.59
286,287,Adilabad,2016 - 2017,Kharif,Moong(Green Gram),240.52,27.3,38.3,7.55,180,17.6,284,1.35,14,0.58,12.88,14.7,0.65
287,288,Adilabad,2017 - 2018,Kharif,Moong(Green Gram),180.18,27.6,37.4,7.55,180,17.6,284,1.35,14,0.58,12.88,13.95,0.7
288,289,Adilabad,2018 - 2019,Kharif,Moong(Green Gram),256.06,25.38,39.94,7.55,180,17.6,284,1.35,14,0.58,12.88,14.83,0.82
289,290,Adilabad,2019 - 2020,Kharif,Moong(Green Gram),204.62,16.8,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,14.18,0.65
290,291,Bhadradri Kothagudem,2016 - 2017,Kharif,Moong(Green Gram),250.18,27.2,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,13.07,0.44
291,292,Bhadradri Kothagudem,2017 - 2018,Kharif,Moong(Green Gram),194.08,28.6,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.05,0.64
292,293,Bhadradri Kothagudem,2018 - 2019,Kharif,Moong(Green Gram),205.84,25.8,40.0333333333333,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.31,0.63
293,294,Bhadradri Kothagudem,2019 - 2020,Kharif,Moong(Green Gram),225.18,21.6,44.9,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,11.33,0.79
294,295,Jagtial,2016 - 2017,Kharif,Moong(Green Gram),212.14,26.9,38.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,11.15,0.61
295,296,Jagtial,2017 - 2018,Kharif,Moong(Green Gram),127.66,27.5,37.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,7.43,0.97
296,297,Jagtial,2018 - 2019,Kharif,Moong(Green Gram),191.68,24.6,40.2666666666667,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,9.14,0.55
297,298,Jagtial,2019 - 2020,Kharif,Moong(Green Gram),221.96,19.4,45.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,8.41,0.62
298,299,Jangoan,2016 - 2017,Kharif,Moong(Green Gram),198.66,26,36.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,16.42,0.78
299,300,Jangoan,2017 - 2018,Kharif,Moong(Green Gram),148,26.8,37.3,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.23,0.56
300,301,Jangoan,2018 - 2019,Kharif,Moong(Green Gram),111.3,23.8666666666667,39.5333333333333,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,12.79,0.52
301,302,Jangoan,2019 - 2020,Kharif,Moong(Green Gram),184.22,18.8,44.4,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.65,0.9
302,303,Jayashankar Bhoopalpally,2016 - 2017,Kharif,Moong(Green Gram),237.16,27.8,38.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,11.92,0.78
303,304,Jayashankar Bhoopalpally,2017 - 2018,Kharif,Moong(Green Gram),170.72,28.9,37.3,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.69,0.64
304,305,Jayashankar Bhoopalpally,2018 - 2019,Kharif,Moong(Green Gram),217.76,25.9555555566667,40.4666666666667,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.42,0.63
305,306,Jayashankar Bhoopalpally,2019 - 2020,Kharif,Moong(Green Gram),266.4,21.16666667,45.6,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,16.3,0.79
306,307,Jogulamba Gadwal,2016 - 2017,Kharif,Moong(Green Gram),110.1,25.1,34.7,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,11.83,0.65
307,308,Jogulamba Gadwal,2017 - 2018,Kharif,Moong(Green Gram),138.54,27.1,35.9,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.75,0.64
308,309,Jogulamba Gadwal,2018 - 2019,Kharif,Moong(Green Gram),64.72,24.4666666666667,38.2333333333333,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.78,0.645
309,310,Jogulamba Gadwal,2019 - 2020,Kharif,Moong(Green Gram),103.34,21.2,44.1,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,13.82,0.645
310,311,Kamareddy,2016 - 2017,Kharif,Moong(Green Gram),242.58,25.4,36.2,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,20.81,0.86
311,312,Kamareddy,2017 - 2018,Kharif,Moong(Green Gram),175.98,25.8,35.8,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,15.52,0.92
312,313,Kamareddy,2018 - 2019,Kharif,Moong(Green Gram),145.38,25.6,36,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,16.84,1.1
313,314,Kamareddy,2019 - 2020,Kharif,Moong(Green Gram),235.12,25.6,36,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,19.31,1.01
314,315,Karimnagar,2014 - 2015,Kharif,Moong(Green Gram),92.36,30.5,40.6,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.4425,0.37
315,316,Karimnagar,2015 - 2016,Kharif,Moong(Green Gram),134.44,26.9,38.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.4425,0.7
316,317,Karimnagar,2016 - 2017,Kharif,Moong(Green Gram),192.88,26.8,37.9,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,15.65,0.61
317,318,Karimnagar,2017 - 2018,Kharif,Moong(Green Gram),146.26,26.9,36.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,11.86,0.64
318,319,Karimnagar,2018 - 2019,Kharif,Moong(Green Gram),152.1,27.775,38.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,12.7,0.63
319,320,Karimnagar,2019 - 2020,Kharif,Moong(Green Gram),235.4,27.775,38.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.56,0.79
320,321,Khammam,2014 - 2015,Kharif,Moong(Green Gram),165.22,29.7,40.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.8625,0.5
321,322,Khammam,2015 - 2016,Kharif,Moong(Green Gram),212.66,27.2,37.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.8625,0.67
322,323,Khammam,2016 - 2017,Kharif,Moong(Green Gram),196.24,27.3,36.8,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,10.43,0.44
323,324,Khammam,2017 - 2018,Kharif,Moong(Green Gram),197.585,29,37.2,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,9.15,0.47
324,325,Khammam,2018 - 2019,Kharif,Moong(Green Gram),204.596,27.06,39.4,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.32,0.35
325,326,Khammam,2019 - 2020,Kharif,Moong(Green Gram),187.9066667,22.1,45,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,7.55,0.73
326,327,Komaram bheem asifabad,2016 - 2017,Kharif,Moong(Green Gram),240.24,27.7,39.3,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.97,0.65
327,328,Komaram bheem asifabad,2017 - 2018,Kharif,Moong(Green Gram),142.94,27.5,37.2,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,0.77
328,329,Komaram bheem asifabad,2018 - 2019,Kharif,Moong(Green Gram),226.16,24,40.5,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.94,0.71
329,330,Komaram bheem asifabad,2019 - 2020,Kharif,Moong(Green Gram),265.66,16.8,45,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,0.8
330,331,Mahabubabad,2016 - 2017,Kharif,Moong(Green Gram),211.04,26.7,37.7,7.6,260,20,330,1.56,17.3,3.92,17.5,10.41,0.78
331,332,Mahabubabad,2017 - 2018,Kharif,Moong(Green Gram),174.64,28.5,38.4,7.6,260,20,330,1.56,17.3,3.92,17.5,9.69,0.66
332,333,Mahabubabad,2018 - 2019,Kharif,Moong(Green Gram),150.46,25.5333333333333,40.3,7.6,260,20,330,1.56,17.3,3.92,17.5,10.05,0.51
333,334,Mahabubabad,2019 - 2020,Kharif,Moong(Green Gram),191.72,21.4,44.8,7.6,260,20,330,1.56,17.3,3.92,17.5,10.38,0.91
334,335,Mahabubnagar,2014 - 2015,Kharif,Moong(Green Gram),81.06,26.1,38.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.9075,0.37
335,336,Mahabubnagar,2015 - 2016,Kharif,Moong(Green Gram),76.1,26.8,37.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.9075,0.07
